RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:26::265,-0.24677,1.243955,0.816525,0.356799,-0.081654,0.157115,-3.065084,0.003481,0.766732,-2.321438
2025/04/01/ 21:40:26::273,-0.189016,1.075582,0.736644,0.543921,-0.170614,0.159051,-2.44369,-0.265449,0.57615,-2.269111
2025/04/01/ 21:40:26::311,-0.258572,0.74319,0.789196,0.850714,-0.341577,0.144122,-1.843081,-0.518617,0.371194,-2.171126
2025/04/01/ 21:40:26::333,-0.323725,0.501545,0.874293,1.073477,-0.653731,0.033505,-1.258674,-0.547277,0.176589,-2.059772
2025/04/01/ 21:40:26::375,-0.316553,0.8408,0.730811,0.98096,-0.94632,-0.106543,-0.964209,-0.407554,0.12018,-1.866689
2025/04/01/ 21:40:26::395,-0.408429,1.522442,0.778256,1.109778,-1.141364,-0.172418,-0.907452,-0.159323,-0.446279,-1.467308
2025/04/01/ 21:40:26::423,-0.238805,2.158388,0.96925,1.211793,-1.204331,-0.138447,-0.855126,-0.391447,-0.691914,-1.042401
2025/04/01/ 21:40:26::470,-0.163145,2.972572,0.778234,1.584243,-1.308258,-0.198419,-0.902803,-0.628733,-0.986933,-0.620072
2025/04/01/ 21:40:26::484,-0.133565,3.735336,0.775401,1.580559,-1.466053,-0.213509,-1.096789,-0.689994,-1.092137,-0.342824
2025/04/01/ 21:40:26::515,-0.107096,4.21055,0.740815,1.672375,-1.660947,-0.240292,-1.243905,-0.337223,-0.88282,-0.229762
2025/04/01/ 21:40:26::544,-0.121028,4.216367,0.643471,1.738342,-1.850086,-0.250354,-1.381047,0.028575,-0.610726,-0.077107
2025/04/01/ 21:40:26::589,-0.021168,3.674295,0.539949,1.661989,-2.017848,-0.074372,-1.423624,0.254991,-0.185935,-0.021367
2025/04/01/ 21:40:26::602,0.105454,2.728343,0.478443,1.40849,-2.117193,0.028458,-1.329234,0.226388,0.258692,-0.227655
2025/04/01/ 21:40:26::632,0.192293,1.839515,0.397141,0.956458,-2.128489,0.174155,-1.107831,0.025265,0.478983,-0.485702
2025/04/01/ 21:40:26::663,0.172455,1.339813,0.441144,0.550002,-1.917985,0.225458,-1.117688,-0.103853,0.519094,-0.914643
2025/04/01/ 21:40:26::704,0.160125,1.176724,0.443417,0.112228,-1.57675,0.180523,-1.448495,-0.167966,0.419656,-1.303214
2025/04/01/ 21:40:26::723,0.036787,1.063038,0.445909,-0.112305,-1.218972,0.166287,-1.946561,-0.260057,0.489924,-1.604767
2025/04/01/ 21:40:26::754,0.025765,1.038061,0.284811,-0.093144,-0.906883,0.354216,-2.708432,-0.039653,0.795134,-1.830752
2025/04/01/ 21:40:26::783,-0.036545,1.05128,0.565297,-0.015925,-0.621068,0.210915,-3.308475,0.251428,1.013382,-2.020633
2025/04/01/ 21:40:26::813,-0.105341,1.2123,0.737855,0.073463,-0.381411,0.145295,-3.793641,0.365382,1.307622,-2.13291
2025/04/01/ 21:40:26::843,-0.129891,1.266568,0.729005,0.123557,-0.098411,0.138504,-3.873879,0.457663,1.319796,-2.228428
2025/04/01/ 21:40:26::877,-0.111962,1.296479,0.685497,0.237415,0.014641,0.168499,-3.545983,0.261714,1.145885,-2.29006
2025/04/01/ 21:40:26::903,-0.150852,1.16942,0.655211,0.365424,0.037086,0.196147,-2.962929,-0.053205,0.886274,-2.309656
2025/04/01/ 21:40:26::936,-0.192055,0.773279,0.744386,0.790087,-0.228151,0.220844,-2.169557,-0.301646,0.678554,-2.221888
2025/04/01/ 21:40:26::963,-0.2955,0.483901,0.791869,0.909357,-0.469118,0.147859,-1.614801,-0.382127,0.349008,-2.112925
2025/04/01/ 21:40:26::998,-0.240146,0.504048,0.675968,0.981596,-0.81883,0.030949,-1.283084,-0.413534,0.142955,-1.959063
2025/04/01/ 21:40:27::025,-0.398534,1.142578,0.700071,0.963361,-1.063138,-0.181034,-1.143641,-0.283459,-0.111599,-1.666595
2025/04/01/ 21:40:27::061,-0.306738,1.886302,0.893435,1.132952,-1.213808,-0.174852,-1.01766,-0.142883,-0.608867,-1.285727
2025/04/01/ 21:40:27::084,-0.177416,2.760213,0.853673,1.412085,-1.29091,-0.12588,-0.937917,-0.516101,-0.734452,-0.855466
2025/04/01/ 21:40:27::113,-0.152065,3.488792,0.840304,1.602595,-1.423026,-0.207298,-1.065337,-0.721129,-0.907668,-0.457174
2025/04/01/ 21:40:27::144,-0.124694,4.042603,0.845435,1.636798,-1.603591,-0.182422,-1.216973,-0.357668,-1.031009,-0.251435
2025/04/01/ 21:40:27::173,-0.013791,4.253763,0.748482,1.696806,-1.791328,-0.18423,-1.399905,-0.051111,-0.628271,-0.120677
2025/04/01/ 21:40:27::203,0.002502,3.897539,0.669849,1.634412,-1.967474,-0.156886,-1.39125,0.01371,-0.204298,-0.016626
2025/04/01/ 21:40:27::234,0.085527,3.185974,0.423531,1.550709,-2.109068,-0.01061,-1.394461,0.230152,-0.106483,-0.106213
2025/04/01/ 21:40:27::262,0.254513,2.132373,0.386939,1.216604,-2.146685,0.101944,-1.088716,0.183014,0.339068,-0.413929
2025/04/01/ 21:40:27::293,0.177714,1.599936,0.512946,0.740183,-2.031515,0.291938,-1.004009,-0.318882,0.61478,-0.767087
2025/04/01/ 21:40:27::326,0.179034,1.41999,0.536972,0.338358,-1.76657,0.16208,-1.112967,-0.081289,0.355117,-1.165213
2025/04/01/ 21:40:27::353,0.088994,1.234035,0.60708,-0.09456,-1.321057,0.138095,-1.576019,-0.275065,0.369502,-1.507955
2025/04/01/ 21:40:27::384,0.025017,1.179424,0.295291,0.023844,-1.052003,0.304187,-2.354262,-0.230737,0.636265,-1.676023
2025/04/01/ 21:40:27::414,-0.055068,1.082533,0.463091,-0.1561,-0.767335,0.288379,-3.063205,-0.008738,0.843056,-1.897382
2025/04/01/ 21:40:27::443,-0.089282,1.239934,0.743252,-0.158241,-0.53043,0.130137,-3.537285,0.341294,0.950831,-2.031022
2025/04/01/ 21:40:27::473,-0.079142,1.290318,0.663922,0.297537,-0.282969,0.148969,-3.785034,0.334519,1.249063,-2.148407
2025/04/01/ 21:40:27::510,-0.12424,1.373091,0.72019,0.165271,-0.087847,0.172069,-3.634934,0.2506,1.232923,-2.207996
2025/04/01/ 21:40:27::535,-0.177172,1.257821,0.804067,0.234983,-0.061506,0.190781,-3.171815,0.159057,0.892458,-2.216398
2025/04/01/ 21:40:27::580,-0.208631,0.90526,0.666328,0.64697,-0.163856,0.173955,-2.449881,-0.18042,0.810151,-2.120337
2025/04/01/ 21:40:27::593,-0.275354, 0.55850,0.661277,0.959822,-0.354107,0.156147,-1.727125,-0.266256,0.533353,-2.019006
2025/04/01/ 21:40:27::625,-0.263399,0.417861,0.798175,0.918802,-0.731844,0.044995,-1.226693,-0.353471,0.249411,-1.937725
2025/04/01/ 21:40:27::656,-0.313638,0.959567,0.665403,0.877675,-0.99058,-0.109754,-1.043649,-0.284465,0.078274,-1.681616
2025/04/01/ 21:40:27::699,-0.330648,1.679326,0.712822,1.112505,-1.134015,-0.113796,-0.971063,-0.099984,-0.530324,-1.318225
2025/04/01/ 21:40:27::714,-0.216379,2.414492,0.873014,1.346722,-1.194121,-0.136095,-0.901414,-0.420313,-0.767056,-0.928517
2025/04/01/ 21:40:27::750,-0.168837,3.213966,0.770947,1.687187,-1.277902,-0.182946,-0.990955,-0.666583,-0.902217,-0.512971
2025/04/01/ 21:40:27::781,-0.092488,3.953625,0.910263,1.6634,-1.425569,-0.207378,-1.122793,-0.568372,-0.946389,-0.299833
2025/04/01/ 21:40:27::812,-0.133262,4.271096,0.812219,1.794917,-1.600162,-0.214749,-1.253892,-0.204764,-0.88117,-0.136571
2025/04/01/ 21:40:27::834,-0.068627,4.181734,0.696995,1.796571,-1.775919,-0.185578,-1.401202,0.038779,-0.427197,-0.081419
2025/04/01/ 21:40:27::864,0.003048,3.521101,0.519674,1.671323,-1.932472,-0.075498,-1.369352,0.284877,-0.218766,-0.050392
2025/04/01/ 21:40:27::899,0.152154,2.529971,0.464628,1.331424,-2.022262,0.022461,-1.228114,0.149702,0.10852,-0.266146
2025/04/01/ 21:40:27::922,0.200195,1.654329,0.461523,0.971679,-1.982776,0.220074,-1.013441,-0.245506,0.416637,-0.605885
2025/04/01/ 21:40:27::953,0.140737,1.320389,0.569065,0.499219,-1.749738,0.237102,-1.100946,-0.166844,0.464574,-1.011509
2025/04/01/ 21:40:27::983,0.127413,1.151056,0.660388,0.074075,-1.446345,0.109383,-1.495999,-0.260598,0.424598,-1.384902
2025/04/01/ 21:40:28::027,0.029712,1.031245,0.45279,0.013275,-1.109473,0.267632,-2.133236,-0.258438,0.650211,-1.631101
2025/04/01/ 21:40:28::043,-0.031168,0.964882,0.445857,-0.099806,-0.817448,0.277433,-2.751592,-0.058084,0.773379,-1.843213
2025/04/01/ 21:40:28::073,-0.01073,1.078391,0.638062,-0.201903,-0.561303,0.201295,-3.337273,0.160554,1.002263,-2.012631
2025/04/01/ 21:40:28::106,-0.06561,1.118665,0.712416,0.056363,-0.331226,0.187482,-3.711394,0.312433,1.187963,-2.132557
2025/04/01/ 21:40:28::133,-0.090752,1.159057,0.712464,0.167617,-0.10926,0.175013,-3.712121,0.276524,1.261045,-2.231102
2025/04/01/ 21:40:28::162,-0.148728,1.163164,0.788183,0.210668,-0.035839,0.212437,-3.30406,0.216196,1.059344,-2.282544
2025/04/01/ 21:40:28::195,-0.186795,1.000356,0.804818,0.454752,-0.094822,0.212281,-2.649777,-0.11809,0.921739,-2.263732
2025/04/01/ 21:40:28::225,-0.265179,0.648111,0.799525,0.830712,-0.245219,0.204825,-1.871225,-0.183977,0.654368,-2.183492
2025/04/01/ 21:40:28::253,-0.302515,0.38146,0.777212,1.107419,-0.581321,0.130585,-1.318,-0.369695,0.223025,-2.068129
2025/04/01/ 21:40:28::283,-0.24118,0.56597,0.694462,0.863422,-0.862427,0.010935,-1.148536,-0.424186,0.174876,-1.875789
2025/04/01/ 21:40:28::313,-0.36589,1.275372,0.651826,0.964014,-1.159354,-0.246566,-0.987149,-0.221033,-0.255601,-1.549031
2025/04/01/ 21:40:28::343,-0.263832,2.077651,0.850981,1.199835,-1.261724,-0.204861,-0.903059,-0.214749,-0.729318,-1.135542
2025/04/01/ 21:40:28::374,-0.193657,2.952141,0.810548,1.438822,-1.339878,-0.147243,-0.948132,-0.54731,-0.792365,-0.715531
2025/04/01/ 21:40:28::404,-0.155875,3.764486,0.898241,1.631124,-1.508902,-0.253581,-1.109683,-0.616667,-0.918902,-0.335888
2025/04/01/ 21:40:28::450,-0.131608,4.154919,0.839763,1.704521,-1.672401,-0.238021,-1.202463,-0.381697,-0.858041,-0.213723
2025/04/01/ 21:40:28::464,-0.038389,4.189628,0.67701,1.763859,-1.862128,-0.16898,-1.452906,0.022021,-0.571959,-0.082545
2025/04/01/ 21:40:28::502,-0.002173,3.641557,0.655523,1.524688,-2.026373,-0.16756,-1.349974,0.206089,-0.169646,-0.016144
2025/04/01/ 21:40:28::526,0.107205,2.79189,0.411353,1.404282,-2.140679,-0.031775,-1.248356,0.17283,0.087053,-0.17733
2025/04/01/ 21:40:28::564,0.210584,1.825235,0.384309,1.073612,-2.15497,0.171782,-0.976816,-0.119236,0.392102,-0.539678
2025/04/01/ 21:40:28::583,0.170122,1.325764,0.480042,0.618201,-2.024132,0.167914,-0.962736,-0.144576,0.433246,-0.917896
2025/04/01/ 21:40:28::613,0.11443,1.218632,0.586789,0.296092,-1.722759,0.145946,-1.233944,-0.270903,0.396779,-1.323728
2025/04/01/ 21:40:28::643,0.12246,1.103287,0.568277,-0.037291,-1.29646,0.220284,-1.630436,-0.180565,0.442277,-1.593984
2025/04/01/ 21:40:28::674,-0.013898,1.093811,0.424437,0.099021,-0.981041,0.245001,-2.386817,-0.07064,0.645192,-1.741347
2025/04/01/ 21:40:28::703,0.000119,1.100554,0.66988,-0.030872,-0.657793,0.247382,-3.031222,0.090402,0.964306,-1.94504
2025/04/01/ 21:40:28::733,-0.077163,1.215897,0.879609,0.084659,-0.415304,0.142034,-3.474059,0.350437,1.061111,-2.093984
2025/04/01/ 21:40:28::775,-0.069104,1.290905,0.779792,0.312786,-0.195906,0.178276,-3.620444,0.327065,1.202631,-2.201861
2025/04/01/ 21:40:28::793,-0.127809,1.326391,0.831689,0.203838,-0.061942,0.213344,-3.482648,0.157569,1.11538,-2.277703
2025/04/01/ 21:40:28::823,-0.187788,1.149382,0.787233,0.364077,-0.089794,0.248156,-2.831449,-0.090585,0.736341,-2.284437
2025/04/01/ 21:40:28::853,-0.241108,0.803157,0.696756,0.798169,-0.23775,0.2102,-2.112499,-0.322742,0.664145,-2.190066
2025/04/01/ 21:40:28::898,-0.28761,0.48125,0.64521,0.990416,-0.50306,0.170631,-1.509585,-0.462717,0.265272,-2.069019
2025/04/01/ 21:40:28::914,-0.243512,0.548354,0.710944,0.807325,-0.772993,0.042555,-1.163708,-0.442112,0.137778,-1.886439
2025/04/01/ 21:40:28::943,-0.406661,1.183617,0.672277,0.956848,-1.037651,-0.194365,-1.091776,-0.331148,-0.13324,-1.591767
2025/04/01/ 21:40:28::973,-0.292281,1.833759,0.845006,1.192668,-1.164866,-0.092274,-0.982671,-0.197422,-0.657242,-1.207732
2025/04/01/ 21:40:29::004,-0.161798,2.686786,0.901742,1.464316,-1.204057,-0.116156,-0.967062,-0.521903,-0.820857,-0.766374
2025/04/01/ 21:40:29::033,-0.15325,3.496774,0.878893,1.723184,-1.313316,-0.173904,-1.057529,-0.776722,-0.877082,-0.39667
2025/04/01/ 21:40:29::063,-0.100542,4.106484,0.868551,1.778328,-1.469005,-0.206053,-1.184157,-0.36765,-1.110844,-0.24544
2025/04/01/ 21:40:29::093,-0.058319,4.326083,0.850683,1.844674,-1.650228,-0.177373,-1.381938,-0.070861,-0.685054,-0.17046
2025/04/01/ 21:40:29::125,-0.014686,3.960455,0.694462,1.789433,-1.823791,-0.140006,-1.34078,-0.012157,-0.307673,-0.043278
2025/04/01/ 21:40:29::153,0.072405,3.215318,0.439748,1.577746,-1.952664,-0.031193,-1.420737,0.307174,-0.133916,-0.108255
2025/04/01/ 21:40:29::188,0.261343,2.141833,0.494701,1.263391,-1.955553,0.074701,-1.167328,0.070772,0.279955,-0.380044
2025/04/01/ 21:40:29::212,0.130202,1.599425,0.581373,0.833212,-1.846315,0.263689,-1.054961,-0.331868,0.550101,-0.774221
2025/04/01/ 21:40:29::249,0.202427,1.435671,0.662516,0.231808,-1.575866,0.198236,-1.308043,-0.045217,0.402213,-1.176282
2025/04/01/ 21:40:29::273,0.070167,1.220676,0.558274,-0.082047,-1.225554,0.102217,-1.831276,-0.168801,0.501193,-1.484242
2025/04/01/ 21:40:29::327,-0.040763,1.145236,0.386082,-0.255258,-0.913471,0.32665,-2.613192,-0.243213,0.849963,-1.69155
2025/04/01/ 21:40:29::337,-0.030308,0.995584,0.224285,0.019965,-0.627989,0.202674,-3.26953,0.095738,0.777176,-1.892842
2025/04/01/ 21:40:29::364,-0.040499,1.053683,0.623249,-0.281019,-0.364836,0.257716,-3.787207,0.297074,1.135736,-2.014168
2025/04/01/ 21:40:29::397,-0.116305,1.269971,0.648132,0.055526,-0.205488,0.189328,-3.786602,0.338588,1.37487,-2.107583
2025/04/01/ 21:40:29::422,-0.111618,1.280897,0.727416,0.225412,-0.049641,0.268313,-3.677703,0.328575,1.350685,-2.17896
2025/04/01/ 21:40:29::456,-0.17979,1.071657,0.879425,0.197565,-0.033795,0.26285,-3.270638,0.241085,1.054665,-2.170257
2025/04/01/ 21:40:29::483,-0.219097,0.743627,0.695593,0.710792,-0.157865,0.20026,-2.484587,-0.158964,0.829409,-2.081969
2025/04/01/ 21:40:29::518,-0.250453,0.418801,0.685413,0.992497,-0.337644,0.130237,-1.718453,-0.232347,0.451856,-2.02636
2025/04/01/ 21:40:29::543,-0.238416,0.383463,0.687429,0.94789,-0.696653,0.056674,-1.205942,-0.378046,0.175895,-1.902122
2025/04/01/ 21:40:29::577,-0.420223,1.137654,0.607544,0.841348,-1.032172,-0.144025,-1.167027,-0.184241,-0.234689,-1.55794
2025/04/01/ 21:40:29::604,-0.229796,1.698367,0.660365,1.09428,-1.20434,-0.113397,-1.057153,-0.32451,-0.36803,-1.24488
2025/04/01/ 21:40:29::643,-0.264713,2.528439,0.792307,1.368685,-1.272401,-0.145961,-1.016374,-0.394737,-0.796947,-0.859921
2025/04/01/ 21:40:29::664,-0.100616,3.360494,0.87084,1.625628,-1.373641,-0.19017,-1.007592,-0.522105,-0.934782,-0.514989
2025/04/01/ 21:40:29::694,-0.119588,3.996202,0.866474,1.731485,-1.515607,-0.240925,-1.021035,-0.534649,-0.845459,-0.232006
2025/04/01/ 21:40:29::723,0.035377,4.312192,0.845902,1.794581,-1.699537,-0.184614,-1.266346,-0.107944,-0.698935,-0.055794
2025/04/01/ 21:40:29::766,-0.004223,4.076086,0.757732,1.773908,-1.880939,-0.172864,-1.389474,0.15243,-0.406482,-0.010369
2025/04/01/ 21:40:29::783,0.033478,3.426702,0.50999,1.6331,-2.033142,-0.116391,-1.394376,0.171951,-0.259313,0.007745
2025/04/01/ 21:40:29::812,0.174863,2.410568,0.276682,1.310453,-2.121697,0.029172,-1.200184,0.182448,0.294218,-0.232607
2025/04/01/ 21:40:29::842,0.168936,1.703148,0.42049,0.786159,-2.053101,0.188404,-0.934286,-0.037541,0.433991,-0.543041
2025/04/01/ 21:40:29::885,0.187697,1.383943,0.533877,0.447129,-1.858424,0.188862,-1.011088,-0.113257,0.414349,-0.993412
2025/04/01/ 21:40:29::903,0.156518,1.1732,0.582783,0.069956,-1.504593,0.154533,-1.396932,-0.18963,0.56881,-1.357362
2025/04/01/ 21:40:29::940,0.03174,1.078692,0.497227,-0.107118,-1.211744,0.232711,-2.066297,-0.18152,0.564657,-1.613577
2025/04/01/ 21:40:29::966,-0.028391,1.06864,0.410824,-0.031547,-0.867649,0.310646,-2.776372,0.029586,0.794978,-1.829077
2025/04/01/ 21:40:30::001,0.013281,1.086248,0.632244,-0.043208,-0.560286,0.193162,-3.443156,0.297333,1.089628,-2.01812
2025/04/01/ 21:40:30::023,-0.045209,1.184485,0.702051,-0.002559,-0.332052,0.208161,-3.848145,0.367677,1.365657,-2.130142
2025/04/01/ 21:40:30::053,-0.092081,1.291841,0.701981,0.163501,-0.144742,0.251533,-3.859222,0.395022,1.172381,-2.230162
2025/04/01/ 21:40:30::087,-0.134704,1.195954,0.682136,0.237501,-0.043148,0.225872,-3.439829,0.143487,0.98551,-2.291199
2025/04/01/ 21:40:30::113,-0.182613,1.050705,0.653445,0.484724,-0.121848,0.247663,-2.768064,-0.177511,0.835349,-2.289541
2025/04/01/ 21:40:30::143,-0.248775,0.709689,0.712631,0.745511,-0.27424,0.216468,-2.007574,-0.254273,0.737239,-2.216935
2025/04/01/ 21:40:30::173,-0.306262,0.423025,0.842321,0.978571,-0.581766,0.121991,-1.396865,-0.354219,0.328437,-2.057701
2025/04/01/ 21:40:30::205,-0.245588,0.647774,0.677812,0.967878,-0.860316,-0.022726,-1.233755,-0.253738,0.094468,-1.86511
2025/04/01/ 21:40:30::237,-0.401339,1.304786,0.652833,0.965375,-1.0709,-0.214263,-1.052815,-0.146604,-0.280522,-1.506393
2025/04/01/ 21:40:30::264,-0.184902,2.136441,0.929883,1.136026,-1.169394,-0.114809,-0.947775,-0.225407,-0.721326,-1.111036
2025/04/01/ 21:40:30::295,-0.193809,2.96038,0.818688,1.456394,-1.288647,-0.164946,-0.91836,-0.551075,-0.76005,-0.723621
2025/04/01/ 21:40:30::323,-0.116716,3.672685,0.803395,1.66206,-1.433493,-0.231426,-1.066305,-0.612909,-0.961421,-0.414874
2025/04/01/ 21:40:30::354,-0.106174,4.207656,0.801034,1.727508,-1.59173,-0.154046,-1.249024,-0.27182,-1.01877,-0.203341
2025/04/01/ 21:40:30::384,0.065562,4.222416,0.779846,1.766325,-1.761313,-0.214297,-1.354029,-0.01813,-0.465699,-0.098727
2025/04/01/ 21:40:30::415,0.054568,3.781225,0.653394,1.752249,-1.900206,-0.188181,-1.424222,0.221442,-0.229075,-0.000548
2025/04/01/ 21:40:30::444,0.152822,2.92574,0.488669,1.571987,-2.006661,0.032122,-1.341099,0.310749,-0.003138,-0.163742
2025/04/01/ 21:40:30::473,0.303301,1.943937,0.480561,1.250993,-1.976445,0.208681,-1.070076,-0.022386,0.423702,-0.464177
2025/04/01/ 21:40:30::504,0.166949,1.431862,0.558428,0.613897,-1.799217,0.230947,-0.967104,-0.239471,0.496669,-0.871199
2025/04/01/ 21:40:30::534,0.156103,1.332628,0.587546,0.227762,-1.524344,0.113338,-1.292719,-0.062846,0.387187,-1.237175
2025/04/01/ 21:40:30::564,0.083923,1.147142,0.43117,0.062423,-1.224893,0.205052,-1.745405,-0.226692,0.480466,-1.518622
2025/04/01/ 21:40:30::594,-0.027102,1.066349,0.339792,-0.104157,-0.957181,0.312306,-2.585271,-0.097603,0.784165,-1.709398
2025/04/01/ 21:40:30::641,-0.027177,0.999166,0.484808,-0.343464,-0.704112,0.21619,-3.175264,0.146506,0.982901,-1.859281
2025/04/01/ 21:40:30::653,-0.069062,1.133094,0.516374,-0.160376,-0.438111,0.15372,-3.609787,0.315119,1.30624,-1.962945
2025/04/01/ 21:40:30::689,-0.117565,1.25764,0.551656,0.101587,-0.175802,0.18645,-3.757579,0.453209,1.366872,-2.043205
2025/04/01/ 21:40:30::713,-0.124351,1.26567,0.668727,0.074191,-0.053023,0.240352,-3.482303,0.354575,1.389945,-2.063709
2025/04/01/ 21:40:30::753,-0.194862,1.108889,0.701093,0.251005,-0.058847,0.274744,-2.987352,0.077722,1.153955,-2.020163
2025/04/01/ 21:40:30::775,-0.212603,0.727443,0.63651,0.740255,-0.208346,0.264039,-2.206574,-0.206332,0.809836,-1.951873
2025/04/01/ 21:40:30::813,-0.266209,0.381593,0.58234,0.96713,-0.414141,0.19315,-1.563558,-0.162371,0.395573,-1.849085
2025/04/01/ 21:40:30::832,-0.250505,0.409577,0.683954,0.837258,-0.790001,0.077907,-1.149709,-0.238236,0.2455,-1.753427
2025/04/01/ 21:40:30::876,-0.379504,1.057949,0.622299,0.864678,-1.051764,-0.125393,-1.041511,-0.225275,-0.005174,-1.48544
2025/04/01/ 21:40:30::894,-0.229093,1.874083,0.713838,1.241745,-1.115369,-0.14016,-0.922409,-0.128295,-0.5892,-1.100998
2025/04/01/ 21:40:30::925,-0.168033,2.665837,0.846423,1.578361,-1.166047,-0.151326,-0.874814,-0.475564,-0.835857,-0.790685
2025/04/01/ 21:40:30::968,-0.125079,3.400692,0.881026,1.780559,-1.249639,-0.176788,-0.849181,-0.611409,-0.954103,-0.37547
2025/04/01/ 21:40:30::983,-0.067392,4.040369,0.851943,1.960273,-1.410204,-0.206364,-1.051804,-0.417253,-0.930406,-0.174587
2025/04/01/ 21:40:31::015,-0.012916,4.194687,0.932928,1.863183,-1.588804,-0.183536,-1.208751,-0.126317,-0.682801,-0.105472
2025/04/01/ 21:40:31::043,-0.023325,3.859948,0.70386,1.880403,-1.76033,-0.156955,-1.326319,0.131644,-0.391945,-0.013167
2025/04/01/ 21:40:31::086,0.063062,3.038054,0.526735,1.664169,-1.915989,-0.024757,-1.286693,0.118928,-0.100256,-0.075559
2025/04/01/ 21:40:31::103,0.216237,2.042242,0.41586,1.232441,-1.985658,0.095828,-1.021175,0.031301,0.3908,-0.351169
2025/04/01/ 21:40:31::133,0.110742,1.418491,0.51023,0.795759,-1.860404,0.255081,-0.889004,-0.264698,0.503645,-0.712836
2025/04/01/ 21:40:31::169,0.180775,1.243447,0.632029,0.392251,-1.680931,0.143237,-1.084424,-0.123709,0.371828,-1.112014
2025/04/01/ 21:40:31::193,0.076431,1.038726,0.663266,0.058672,-1.319844,0.140738,-1.575736,-0.234011,0.545276,-1.450757
2025/04/01/ 21:40:31::225,0.028746,0.974153,0.488593,-0.005645,-1.029375,0.337129,-2.371716,-0.122347,0.780683,-1.692151
2025/04/01/ 21:40:31::253,-0.017079,0.930215,0.499514,-0.044456,-0.744992,0.236918,-3.00259,0.171528,0.824175,-1.900392
2025/04/01/ 21:40:31::283,-0.023139,1.071345,0.676717,-0.059027,-0.498539,0.179828,-3.481197,0.242525,1.104608,-2.041368
2025/04/01/ 21:40:31::313,-0.066818,1.142594,0.684348,0.111267,-0.282737,0.214194,-3.770858,0.316248,1.223528,-2.170342
2025/04/01/ 21:40:31::344,-0.093833,1.205402,0.754739,0.187178,-0.12884,0.254292,-3.675536,0.264371,1.1363,-2.271069
2025/04/01/ 21:40:31::376,-0.161707,1.148201,0.778082,0.313345,-0.084969,0.260054,-3.228468,0.105378,0.934771,-2.27553
2025/04/01/ 21:40:31::404,-0.199171,0.913981,0.809363,0.657012,-0.15455,0.216327,-2.450482,-0.262855,0.825465,-2.236983
2025/04/01/ 21:40:31::440,-0.259946,0.588783,0.742659,0.991973,-0.324752,0.184163,-1.742167,-0.261505,0.518875,-2.154085
2025/04/01/ 21:40:31::463,-0.305566,0.469271,0.753178,0.989083,-0.702946,0.100446,-1.25781,-0.376277,0.169997,-1.972547
2025/04/01/ 21:40:31::516,-0.328051,0.951633,0.627013,0.836057,-0.99597,-0.071577,-1.100566,-0.300667,0.006892,-1.718408
2025/04/01/ 21:40:31::523,-0.355155,1.600023,0.621376,1.030066,-1.192844,-0.236365,-0.9788,-0.160592,-0.461597,-1.356236
2025/04/01/ 21:40:31::563,-0.174317,2.44417,0.807762,1.244325,-1.265059,-0.025496,-0.899381,-0.313298,-0.729887,-0.927033
2025/04/01/ 21:40:31::583,-0.146987,3.200998,0.660746,1.648701,-1.350979,-0.195619,-0.920539,-0.618076,-0.770252,-0.547741
2025/04/01/ 21:40:31::617,-0.123881,3.876121,0.796126,1.691672,-1.484212,-0.25595,-1.095724,-0.37971,-0.996641,-0.24091
2025/04/01/ 21:40:31::644,0.038429,4.312628,0.858088,1.766084,-1.638338,-0.189736,-1.26094,-0.15651,-0.782428,-0.15267
2025/04/01/ 21:40:31::673,0.031619,4.158122,0.723154,1.837834,-1.791294,-0.225195,-1.326351,0.006628,-0.42811,-0.01922
2025/04/01/ 21:40:31::708,0.082363,3.496861,0.484149,1.766781,-1.938702,-0.136752,-1.368291,0.354749,-0.2745,0.017149
2025/04/01/ 21:40:31::733,0.25136,2.429282,0.416685,1.418644,-1.987129,0.017826,-1.204785,0.200393,0.181599,-0.246622
2025/04/01/ 21:40:31::763,0.194239,1.727545,0.372679,0.907476,-1.906746,0.220242,-0.971841,-0.100255,0.387143,-0.554679
2025/04/01/ 21:40:31::794,0.24602,1.433764,0.477145,0.471288,-1.752337,0.185445,-0.910623,-0.135734,0.40192,-0.946556
2025/04/01/ 21:40:31::835,0.094882,1.183498,0.471367,0.132095,-1.443176,0.077939,-1.380093,-0.131495,0.578461,-1.32313
2025/04/01/ 21:40:31::854,0.094631,1.05226,0.398393,-0.064125,-1.186175,0.261055,-2.135788,-0.078895,0.684612,-1.547913
2025/04/01/ 21:40:31::883,-0.037431,0.953171,0.408344,-0.116956,-0.912493,0.281396,-2.855808,0.225336,0.798316,-1.720195
2025/04/01/ 21:40:31::913,-0.006464,0.976167,0.466451,-0.235772,-0.615906,0.234734,-3.511643,0.252135,1.280242,-1.870557
2025/04/01/ 21:40:31::958,-0.100159,1.148259,0.433681,-0.14398,-0.357837,0.236367,-3.936416,0.449202,1.444163,-1.971672
