RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:22::075,0.093976,3.571663,0.47842,1.329269,-2.102781,0.121927,-1.60859,0.14927,-0.483751,-0.089606
2025/04/01/ 21:40:22::104,0.159045,2.97273,0.159396,1.308971,-2.154476,-0.015371,-1.552413,0.242894,-0.298371,-0.063805
2025/04/01/ 21:40:22::142,0.279044,2.106123,0.150978,0.804748,-2.112943,0.119039,-1.333794,0.294765,0.242422,-0.235087
2025/04/01/ 21:40:22::163,0.196832,1.51993,0.12879,0.536784,-2.047401,0.244691,-1.165177,0.022907,0.652225,-0.559013
2025/04/01/ 21:40:22::209,0.189003,1.12506,0.284203,0.282037,-1.827933,0.332755,-1.235658,-0.036232,0.604501,-0.962226
2025/04/01/ 21:40:22::223,0.120832,1.005699,0.423273,-0.115842,-1.545908,0.221188,-1.765081,-0.058745,0.516681,-1.32269
2025/04/01/ 21:40:22::265,0.086062,1.013348,0.245587,-0.273631,-1.277194,0.305469,-2.52015,-0.245943,0.857712,-1.569732
2025/04/01/ 21:40:22::283,-0.049273,1.181331,0.181738,-0.31347,-0.980389,0.274298,-3.150116,0.045748,0.914494,-1.722209
2025/04/01/ 21:40:22::330,-0.081012,1.466541,0.280537,-0.352099,-0.696186,0.291504,-3.682077,0.278297,1.222611,-1.820635
2025/04/01/ 21:40:22::343,-0.152733,1.790294,0.464722,-0.26973,-0.463106,0.244729,-3.931489,0.402136,1.459977,-1.880111
2025/04/01/ 21:40:22::375,-0.182995,1.963204,0.42293,0.185043,-0.291002,0.308001,-3.869856,0.547119,1.484139,-1.931183
2025/04/01/ 21:40:22::403,-0.161149,1.975042,0.693149,0.37234,-0.196892,0.344678,-3.379587,0.487362,1.42771,-1.887695
2025/04/01/ 21:40:22::445,-0.15834,1.910066,0.914024,0.624531,-0.265942,0.32984,-2.673687,0.380665,1.232125,-1.799209
2025/04/01/ 21:40:22::465,-0.205909,1.549709,0.86994,1.093174,-0.412053,0.280072,-1.818344,0.105383,0.85109,-1.723158
2025/04/01/ 21:40:22::497,-0.246619,1.217337,0.810972,1.198221,-0.694861,0.212159,-1.234977,-0.082206,0.608001,-1.607856
2025/04/01/ 21:40:22::528,-0.345502,1.272848,0.761003,0.959424,-1.070408,0.056203,-0.978765,-0.068063,0.156202,-1.431469
2025/04/01/ 21:40:22::561,-0.47407,1.767085,0.702541,0.834784,-1.189754,-0.183587,-0.817872,-0.224706,-0.361188,-1.181345
2025/04/01/ 21:40:22::583,-0.302641,2.392066,0.469222,1.351785,-1.214104,-0.063467,-0.725156,-0.498749,-0.570562,-0.848438
2025/04/01/ 21:40:22::613,-0.243765,3.046831,0.6995,1.497977,-1.296136,-0.116779,-0.720258,-0.494498,-0.938237,-0.514998
2025/04/01/ 21:40:22::648,-0.11217,3.602763,0.883685,1.754172,-1.42503,-0.101047,-0.844405,-0.443828,-0.986928,-0.334472
2025/04/01/ 21:40:22::673,-0.133092,3.949972,0.869248,2.000617,-1.612241,-0.122201,-1.071204,-0.209873,-0.743131,-0.191576
2025/04/01/ 21:40:22::704,-0.110085,3.826477,0.746194,1.976099,-1.788684,-0.101108,-1.205426,0.037752,-0.587613,-0.063767
2025/04/01/ 21:40:22::734,-0.085608,3.332496,0.597798,1.564085,-1.88297,-0.035044,-1.289376,0.259642,-0.237223,-0.064601
2025/04/01/ 21:40:22::767,0.011612,2.495565,0.317699,1.146036,-1.894324,0.013384,-1.211071,0.198282,0.01958,-0.170693
2025/04/01/ 21:40:22::792,0.056976,1.561523,0.171673,0.718183,-1.958901,0.172201,-0.981942,0.005348,0.390699,-0.484498
2025/04/01/ 21:40:22::823,0.056757,1.120257,0.295777,0.381587,-1.841474,0.354935,-1.118302,-0.21246,0.652843,-0.919311
2025/04/01/ 21:40:22::855,0.04083,0.918861,0.473086,0.027677,-1.571912,0.215904,-1.404261,-0.098906,0.562978,-1.386434
2025/04/01/ 21:40:22::888,-0.01227,0.854821,0.552221,-0.120002,-1.253702,0.291623,-2.171988,-0.194081,0.792562,-1.671543
2025/04/01/ 21:40:22::913,-0.070616,0.787799,0.327266,0.023466,-0.963968,0.32568,-2.968632,0.052711,1.03176,-1.752869
2025/04/01/ 21:40:22::949,-0.083114,0.96135,0.588134,-0.292244,-0.606227,0.157226,-3.616903,0.245913,1.243402,-1.949844
2025/04/01/ 21:40:22::975,-0.089421,1.23519,0.440693,-0.236842,-0.317009,0.145451,-3.92723,0.353502,1.473732,-2.056849
2025/04/01/ 21:40:23::003,-0.120452,1.510563,0.322775,-0.062529,-0.126458,0.106683,-3.923218,0.351635,1.503086,-2.106212
2025/04/01/ 21:40:23::033,-0.175947,1.511869,0.709258,0.04188,-0.016924,0.183526,-3.568503,0.352121,1.201672,-2.175083
2025/04/01/ 21:40:23::064,-0.208233,1.422355,0.740177,0.401617,-0.055223,0.213802,-3.035836,0.122234,1.110084,-2.114957
2025/04/01/ 21:40:23::093,-0.212709,1.127429,0.91857,0.860255,-0.23732,0.237239,-2.209316,0.016165,0.845408,-2.094751
2025/04/01/ 21:40:23::123,-0.211096,0.802825,0.884979,1.23698,-0.511564,0.157878,-1.516691,-0.207199,0.69255,-1.982357
2025/04/01/ 21:40:23::153,-0.260596,0.730289,0.93628,1.16094,-0.801219,0.046321,-1.133194,-0.21315,0.407077,-1.816173
2025/04/01/ 21:40:23::202,-0.402201,1.223885,0.814238,1.000017,-1.120288,-0.123675,-0.967044,-0.229337,-0.13819,-1.574821
2025/04/01/ 21:40:23::213,-0.362178,1.981661,0.739555,1.050044,-1.206502,-0.121062,-0.821578,-0.291392,-0.599363,-1.208392
2025/04/01/ 21:40:23::249,-0.263004,2.846189,0.691171,1.438714,-1.291181,-0.179677,-0.748068,-0.631984,-0.997834,-0.812482
2025/04/01/ 21:40:23::273,-0.186286,3.463901,0.84452,1.517509,-1.434597,-0.158416,-0.844154,-0.727726,-1.028136,-0.490235
2025/04/01/ 21:40:23::311,-0.115826,3.911643,0.847825,1.758372,-1.617436,-0.262941,-1.062214,-0.320276,-0.992569,-0.210615
2025/04/01/ 21:40:23::333,-0.094628,3.903937,0.928635,1.850862,-1.814425,-0.239273,-1.268212,-0.08271,-0.506625,-0.123055
2025/04/01/ 21:40:23::364,-0.101876,3.517542,0.692915,1.852137,-2.006263,-0.00918,-1.335339,0.288689,-0.333354,0.002617
2025/04/01/ 21:40:23::393,-0.013255,2.879982,0.46495,1.501715,-2.137378,-0.009778,-1.249893,0.278858,0.075033,-0.106046
2025/04/01/ 21:40:23::426,0.158532,2.229394,0.760038,0.724218,-1.994745,0.338081,-1.386075,-0.55304,0.700533,-0.583047
2025/04/01/ 21:40:23::459,0.040569,1.810032,0.601429,0.575311,-1.757126,0.068513,-1.400953,-0.078027,0.093985,-1.027687
2025/04/01/ 21:40:23::483,-0.024327,1.427971,0.570211,0.284602,-1.540562,0.137279,-1.69593,-0.389704,0.349247,-1.520652
2025/04/01/ 21:40:23::524,-0.004741,1.250721,0.678652,-0.105229,-1.270525,0.34238,-2.308496,-0.684296,0.396955,-1.745785
2025/04/01/ 21:40:23::544,-0.158664,1.224157,0.451157,0.024962,-0.971286,0.278665,-3.157283,-0.420766,0.567485,-2.01474
2025/04/01/ 21:40:23::579,-0.047621,1.354097,0.688903,0.102574,-0.618412,0.227435,-3.761499,-0.094908,0.788494,-2.203338
2025/04/01/ 21:40:23::603,-0.136868,1.650812,0.930432,0.041464,-0.272227,0.153665,-4.121252,-0.051793,1.155644,-2.34755
2025/04/01/ 21:40:23::645,-0.151982,1.832627,1.019612,0.285157,-0.063612,0.084631,-4.292746,0.196327,1.204537,-2.434138
2025/04/01/ 21:40:23::663,-0.184965,1.797734,1.085624,0.386748,0.06866,0.13254,-4.096288,0.153553,0.957258,-2.498328
2025/04/01/ 21:40:23::692,-0.189847,1.669652,0.962013,0.503634,0.053168,0.128536,-3.637163,-0.186564,0.880191,-2.438817
2025/04/01/ 21:40:23::724,-0.224465,1.398501,0.886036,0.715566,-0.117493,0.083384,-2.913246,-0.379218,0.626211,-2.338216
2025/04/01/ 21:40:23::760,-0.313705,1.048209,0.921169,0.875534,-0.363786,0.056088,-2.103689,-0.574375,0.373595,-2.244168
2025/04/01/ 21:40:23::783,-0.362138,0.911572,0.815824,1.104027,-0.730682,-0.058051,-1.479629,-0.564831,0.094298,-2.103285
2025/04/01/ 21:40:23::813,-0.339242,1.332351,0.792626,1.023948,-0.949615,-0.165579,-1.251512,-0.336023,-0.123205,-1.741411
