time,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9
0.001,-1.3703112810679857e-20,-2.284858260107449e-20,6.08,-7.0,2.08,9.258082694046004e-22,3.4782964075287243e-20,6.08,-7.0,2.08
0.002,0.0007922118806217286,1.2171821782716079e-05,5.973682568899685,-7.0,2.0465749320333213,-0.0006854176535279683,8.737445943195475e-06,5.9739967982550075,-7.0,2.046571265433388
0.003,0.0016595833129289688,2.3354059151315377e-05,5.8540002036134595,-7.0,2.0115755724679416,-0.0014342176146404176,1.7027368690043696e-05,5.8546661536352325,-7.0,2.0115682226232643
0.004,0.0025939837458369775,3.2036943347038874e-05,5.721283706482809,-7.0,1.9750549176906027,-0.0022386911406709602,2.4684442734593205e-05,5.722337306433181,-7.0,1.9750438973019002
0.005,0.0035870252085406975,3.665163673350335e-05,5.575881104951272,-7.0,1.937066513272022,-0.003090873620098359,3.1463349800943514e-05,5.577356641139115,-7.0,1.9370518644267252
0.006,0.004629903893270966,3.751548276625931e-05,5.418156976394258,-7.0,1.8976644047273215,-0.003982777273311088,3.813424684522976e-05,5.420087075708391,-7.0,1.897646198096341
0.007,0.005713280073178084,3.828259873185423e-05,5.248491765836537,-7.0,1.8569030884164228,-0.004906561766643123,4.7274728399904136e-05,5.2509074263537165,-7.0,1.8568814218356042
0.008,0.0068280217573535446,3.8963697428838896e-05,5.067281231093989,-7.0,1.8148374609217848,-0.005853833089503549,5.9276280904070546e-05,5.070211635026749,-7.0,1.81481246085533
0.009000000000000001,0.00796487495688332,3.956837008131399e-05,4.874935687882334,-7.0,1.7715227710422106,-0.006816064558164359,7.43938079904492e-05,4.8784081334725835,-7.0,1.7714945923641257
0.010000000000000002,0.009114502352559232,4.0105199991326074e-05,4.671879301378391,-7.0,1.727014571250268,-0.007784631302570458,9.272400562791385e-05,4.67591913842475,-7.0,1.7269833969607458
0.011000000000000003,0.010267523092023174,4.058186439078037e-05,4.4585493614088065,-7.0,1.6813686694564238,-0.008750846256736647,0.00011418639221009129,4.463179930752431,-7.0,1.6813347103334069
0.012000000000000004,0.011414553637961006,4.100522577587252e-05,4.23539554157486,-7.0,1.6346410810967704,-0.009705997670856394,0.00013850732822361892,4.240638118892695,-7.0,1.6346045752827096
0.013000000000000005,0.012546249537644171,4.138141387084118e-05,4.002879142722042,-7.0,1.5868879815631014,-0.010641388114782324,0.00016520732963214637,4.008752886994457,-7.0,1.586849194086695
0.014000000000000005,0.013653347933352003,4.171589924519995e-05,3.7614723212710275,-7.0,1.5381656589959802,-0.011548374891621816,0.0001935919433177242,3.7679942283017995,-7.0,1.538124881228424
